year,month,variable,value,isin
2009,2,logReturn,-0.049541729201433,US17275R1023
2009,1,logReturn,-0.124807384066572,US17275R1023
2017,12,logVola,-3.56694660639173,US17275R1023
2017,11,logVola,-2.74838756794947,US17275R1023
2017,10,logVola,-3.56348900516742,US17275R1023
2017,9,logVola,-3.06178142851463,US17275R1023
2017,8,logVola,-2.73765986093616,US17275R1023
2017,7,logVola,-3.55599293186103,US17275R1023
2017,6,logVola,-3.26082620642741,US17275R1023
2017,5,logVola,-2.47683957327393,US17275R1023
2017,4,logVola,-3.4831515989044,US17275R1023
2017,3,logVola,-3.92556953351935,US17275R1023
2017,2,logVola,-3.23950643020416,US17275R1023
2017,1,logVola,-3.78984127679964,US17275R1023
2016,12,logVola,-3.35127928195,US17275R1023
2016,11,logVola,-2.72578929816524,US17275R1023
2016,10,logVola,-3.33073666847265,US17275R1023
2016,9,logVola,-3.03813199737533,US17275R1023
2016,8,logVola,-3.62348297282533,US17275R1023
2016,7,logVola,-3.33287757490321,US17275R1023
2016,6,logVola,-2.69264835748917,US17275R1023
2016,5,logVola,-2.78674608690671,US17275R1023
2016,4,logVola,-2.90912334024629,US17275R1023
2016,3,logVola,-3.19891309886034,US17275R1023
2016,2,logVola,-2.11434340882043,US17275R1023
2016,1,logVola,-2.31827138757666,US17275R1023
2015,12,logVola,-2.73308861318644,US17275R1023
2015,11,logVola,-2.62480368564279,US17275R1023
2015,10,logVola,-2.85373385870436,US17275R1023
2015,9,logVola,-2.69538817728328,US17275R1023
2015,8,logVola,-2.33323501443368,US17275R1023
2015,7,logVola,-3.17326111910069,US17275R1023
2015,6,logVola,-3.14828864188031,US17275R1023
2015,5,logVola,-3.29710383364713,US17275R1023
2015,4,logVola,-3.0425241052731,US17275R1023
2015,3,logVola,-2.90464113652108,US17275R1023
2015,2,logVola,-2.21710223051492,US17275R1023
2015,1,logVola,-2.58406459493162,US17275R1023
2014,12,logVola,-2.95310289487233,US17275R1023
2014,11,logVola,-3.33701032088715,US17275R1023
2014,10,logVola,-2.70718923445641,US17275R1023
2014,9,logVola,-3.25404090436857,US17275R1023
2014,8,logVola,-3.29484734810533,US17275R1023
2014,7,logVola,-3.26582643142096,US17275R1023
2014,6,logVola,-3.53993473862496,US17275R1023
2014,5,logVola,-2.68905040113078,US17275R1023
2014,4,logVola,-3.1357810674011,US17275R1023
2014,3,logVola,-2.97993691822316,US17275R1023
2014,2,logVola,-2.98356575503704,US17275R1023
2014,1,logVola,-3.17928161288927,US17275R1023
2013,12,logVola,-2.93092392307371,US17275R1023
2013,11,logVola,-2.02335528922188,US17275R1023
2013,10,logVola,-3.10875482853724,US17275R1023
2013,9,logVola,-2.9406156159907,US17275R1023
2013,8,logVola,-2.54221670632853,US17275R1023
2013,7,logVola,-3.30041960009843,US17275R1023
2013,6,logVola,-2.98123487830101,US17275R1023
2013,5,logVola,-2.04832934297611,US17275R1023
2013,4,logVola,-2.69189147436514,US17275R1023
2013,3,logVola,-2.78802285771234,US17275R1023
2013,2,logVola,-3.00963865481541,US17275R1023
2013,1,logVola,-3.15455181527135,US17275R1023
2012,12,logVola,-3.06617267604373,US17275R1023
2012,11,logVola,-2.71213015604285,US17275R1023
2012,10,logVola,-2.79906701906831,US17275R1023
2012,9,logVola,-2.70464917965825,US17275R1023
2012,8,logVola,-2.21601382313404,US17275R1023
2012,7,logVola,-2.3929738727941,US17275R1023
2012,6,logVola,-2.51316145565647,US17275R1023
2012,5,logVola,-2.129731009662,US17275R1023
2012,4,logVola,-2.80932567696123,US17275R1023
2012,3,logVola,-3.15383565150807,US17275R1023
2012,2,logVola,-3.12982077499236,US17275R1023
2012,1,logVola,-3.25210782914608,US17275R1023
2011,12,logVola,-2.52026661961285,US17275R1023
2011,11,logVola,-2.16712799873091,US17275R1023
